"V1","V2","V3","V4","V5"
"337","45to64","Hispanic","above_poor","queens","Not_disabled"
"338","45to64","Hispanic","above_poor","queens","Not_disabled"
"339","45to64","Hispanic","above_poor","queens","Not_disabled"
"340","45to64","Hispanic","above_poor","queens","Not_disabled"
"341","45to64","Hispanic","above_poor","queens","Not_disabled"
"342","45to64","Hispanic","above_poor","queens","Not_disabled"
"343","45to64","Hispanic","above_poor","queens","Not_disabled"
"344","45to64","Hispanic","above_poor","queens","Not_disabled"
"345","45to64","Hispanic","above_poor","queens","Not_disabled"
"346","45to64","Hispanic","above_poor","queens","Not_disabled"
"347","45to64","Hispanic","above_poor","queens","Not_disabled"
"348","45to64","Hispanic","above_poor","queens","Not_disabled"
"349","45to64","Hispanic","above_poor","queens","Not_disabled"
"350","45to64","Hispanic","above_poor","queens","Not_disabled"
"351","45to64","Hispanic","above_poor","queens","Not_disabled"
"352","45to64","Hispanic","above_poor","queens","Not_disabled"
"353","45to64","Hispanic","above_poor","queens","Not_disabled"
"354","45to64","Hispanic","above_poor","queens","Not_disabled"
"355","45to64","Hispanic","above_poor","queens","Not_disabled"
"356","45to64","Hispanic","above_poor","queens","Not_disabled"
"357","45to64","Hispanic","above_poor","queens","Not_disabled"
"358","45to64","Hispanic","above_poor","queens","Not_disabled"
"359","45to64","Hispanic","above_poor","queens","Not_disabled"
"360","45to64","Hispanic","above_poor","queens","Not_disabled"
"361","45to64","Hispanic","above_poor","queens","Not_disabled"
"362","45to64","Hispanic","above_poor","queens","Not_disabled"
"363","65andolder","Hispanic","above_poor","queens","Not_disabled"
"364","65andolder","Hispanic","above_poor","queens","Not_disabled"
"365","65andolder","Hispanic","above_poor","queens","Not_disabled"
"366","65andolder","Hispanic","above_poor","queens","Not_disabled"
"367","65andolder","Hispanic","above_poor","queens","Not_disabled"
"368","65andolder","Hispanic","above_poor","queens","Not_disabled"
"369","65andolder","Hispanic","above_poor","queens","Not_disabled"
"370","65andolder","Hispanic","above_poor","queens","Not_disabled"
"371","65andolder","Hispanic","above_poor","queens","Not_disabled"
