age,race,income,borough,disability
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
45to64,hispanic,above_poor,queens,Not_disabled
